ray_x                  ray_y                    Time                     abs_prob
0.05                     -0.205                   6.000000000000001E-9     0.770263303934053
0.05                     -0.195                   6.000000000000001E-9     0.7723112786926617
0.05                     -0.185                   6.000000000000001E-9     0.7709300142320493
0.05                     -0.175                   6.000000000000001E-9     0.7701564322776142
0.05                     -0.165                   6.000000000000001E-9     0.7722684264230502
0.05                     -0.155                   6.000000000000001E-9     0.7575419776379868
0.05                     -0.145                   6.000000000000001E-9     0.7541941159765233
0.05                     -0.135                   5.0E-9                   0.6740742427676485
0.05                     -0.125                   4.500000000000001E-9     0.6176478037696662
0.05                     -0.115                   3.0000000000000004E-9    0.6044984096947776
0.05                     -0.105                   2.0E-9                   0.5908020135120483
0.05                     -0.095                   6.000000000000001E-9     0.600547010021284
0.05                     -0.085                   6.000000000000001E-9     0.6864378365724204
0.05                     -0.075                   6.000000000000001E-9     0.7619645824218328
0.05                     -0.065                   6.000000000000001E-9     0.7648960858861225
0.05                     -0.055                   6.000000000000001E-9     0.7620549335443005
0.05                     -0.045                   6.000000000000001E-9     0.763184184178544
0.05                     -0.035                   6.000000000000001E-9     0.763611430489803
0.05                     -0.025                   6.000000000000001E-9     0.7614749194749647
0.05                     -0.015                   6.000000000000001E-9     0.7555294170828358
0.05                     -0.005                   6.000000000000001E-9     0.7359390455850369
0.05                     0.005                    6.000000000000001E-9     0.7347659235695323
0.05                     0.015                    6.000000000000001E-9     0.7493826923065086
0.05                     0.025                    6.000000000000001E-9     0.7602536092608757
0.05                     0.035                    6.000000000000001E-9     0.7641819477659673
0.05                     0.045                    6.000000000000001E-9     0.758011166251675
0.05                     0.055                    6.000000000000001E-9     0.7606354395866151
0.05                     0.065                    6.000000000000001E-9     0.7628653489146102
0.05                     0.075                    6.000000000000001E-9     0.7652911834626414
0.05                     0.085                    6.000000000000001E-9     0.6859513318075086
0.05                     0.095                    6.000000000000001E-9     0.6014022469437598
0.05                     0.105                    2.0E-9                   0.5892250712745901
0.05                     0.115                    3.5000000000000003E-9    0.5998534888257374
0.05                     0.125                    4.0E-9                   0.6189499743896587
0.05                     0.135                    4.500000000000001E-9     0.6692079995534681
0.05                     0.145                    6.000000000000001E-9     0.7551235486530601
0.05                     0.155                    6.000000000000001E-9     0.7653358511819868
0.05                     0.165                    6.000000000000001E-9     0.7679298532525407
0.05                     0.175                    6.000000000000001E-9     0.7738010172129601
0.05                     0.185                    6.000000000000001E-9     0.7759891456323248
0.05                     0.195                    6.000000000000001E-9     0.77621348555
0.05                     0.205                    6.000000000000001E-9     0.7645098244992016
0.05                     0.215                    6.000000000000001E-9     0.7653653390871348
0.05                     0.225                    6.000000000000001E-9     0.7190358846453295
0.05                     0.235                    5.5000000000000004E-9    0.6332736083061422
0.06                     -0.235                   4.500000000000001E-9     0.6190063371788074
0.06                     -0.225                   6.000000000000001E-9     0.6845864434491901
0.06                     -0.215                   6.000000000000001E-9     0.7553076501573553
0.06                     -0.205                   6.000000000000001E-9     0.7616356913560256
0.06                     -0.195                   6.000000000000001E-9     0.768198165677698
0.06                     -0.185                   6.000000000000001E-9     0.7748426997450084
0.06                     -0.175                   6.000000000000001E-9     0.7699703738859718
0.06                     -0.165                   6.000000000000001E-9     0.7633424596629289
0.06                     -0.155                   6.000000000000001E-9     0.7666500036596686
0.06                     -0.145                   6.000000000000001E-9     0.7605879282467418
0.06                     -0.135                   5.0E-9                   0.7152228706384244
0.06                     -0.125                   5.0E-9                   0.6317641323666581
0.06                     -0.115                   3.0000000000000004E-9    0.6179676245002552
0.06                     -0.105                   3.5000000000000003E-9    0.5928624851255688
0.06                     -0.095                   2.0E-9                   0.5892759056079883
0.06                     -0.085                   6.000000000000001E-9     0.6275958865823514
0.06                     -0.075                   6.000000000000001E-9     0.7147012197523722
0.06                     -0.065                   6.000000000000001E-9     0.7623259479330863
0.06                     -0.055                   6.000000000000001E-9     0.759378029162615
0.06                     -0.045                   6.000000000000001E-9     0.7612284924864806
0.06                     -0.035                   6.000000000000001E-9     0.7613152898555885
0.06                     -0.025                   6.000000000000001E-9     0.7613774967625059
0.06                     -0.015                   6.000000000000001E-9     0.7632630499113396
0.06                     -0.005                   6.000000000000001E-9     0.7644671060534703
0.06                     0.005                    6.000000000000001E-9     0.7594671922926878
0.06                     0.015                    6.000000000000001E-9     0.7580685123989445
0.06                     0.025                    6.000000000000001E-9     0.761306349313405
0.06                     0.035                    6.000000000000001E-9     0.7605459459071539
0.06                     0.045                    6.000000000000001E-9     0.7611536934446889
0.06                     0.055                    6.000000000000001E-9     0.7552108096429041
0.06                     0.065                    6.000000000000001E-9     0.7622923561626737
0.06                     0.075                    6.000000000000001E-9     0.7139420301666859
0.06                     0.085                    6.000000000000001E-9     0.628676452325023
0.06                     0.095                    2.0E-9                   0.5916686792225766
0.06                     0.105                    3.5000000000000003E-9    0.5945527679436937
0.06                     0.115                    3.0000000000000004E-9    0.6204239610481725
0.06                     0.125                    4.500000000000001E-9     0.6312245318024396
0.06                     0.135                    4.500000000000001E-9     0.7164279411661129
